race,sex,age,estimate
whitealone,male,under5years,5612972
whitealone,male,5to9years,5966983
whitealone,male,10to14years,6452141
whitealone,male,15to17years,3966362
whitealone,male,18and19years,2807767
whitealone,male,20to24years,6986456
whitealone,male,25to29years,7095914
whitealone,male,30to34years,7188641
whitealone,male,35to44years,13775827
whitealone,male,45to54years,13880212
whitealone,male,55to64years,15293776
whitealone,male,65to74years,11889658
whitealone,male,75to84years,5653495
whitealone,male,85yearsandover,1921658
whitealone,female,female,109631562
whitealone,female,under5years,5336183
whitealone,female,5to9years,5694036
whitealone,female,10to14years,6097630
whitealone,female,15to17years,3745219
whitealone,female,18and19years,2683087
whitealone,female,20to24years,6628178
whitealone,female,25to29years,6771903
whitealone,female,30to34years,6921835
whitealone,female,35to44years,13260073
whitealone,female,45to54years,13463154
whitealone,female,55to64years,15569584
whitealone,female,65to74years,12949609
whitealone,female,75to84years,7122494
whitealone,female,85yearsandover,3388577
black,male,under5years,1321738
black,male,5to9years,1390846
black,male,10to14years,1502957
black,male,15to17years,887152
black,male,18and19years,639260
black,male,20to24years,1581475
black,male,25to29years,1649398
black,male,30to34years,1515055
black,male,35to44years,2614752
black,male,45to54years,2405887
black,male,55to64years,2303050
black,male,65to74years,1386109
black,male,75to84years,521002
black,male,85yearsandover,148234
black,female,female,21421657
black,female,under5years,1273805
black,female,5to9years,1324454
black,female,10to14years,1463310
black,female,15to17years,851715
black,female,18and19years,618992
black,female,20to24years,1555447
black,female,25to29years,1638687
black,female,30to34years,1577987
black,female,35to44years,2828217
black,female,45to54years,2664819
black,female,55to64years,2646962
black,female,65to74years,1802724
black,female,75to84years,826050
black,female,85yearsandover,348488
aian,male,under5years,87679
aian,male,5to9years,100860
aian,male,10to14years,112712
aian,male,15to17years,69338
aian,male,18and19years,48229
aian,male,20to24years,115924
aian,male,25to29years,117437
aian,male,30to34years,110077
aian,male,35to44years,195904
aian,male,45to54years,168024
aian,male,55to64years,150710
aian,male,65to74years,88774
aian,male,75to84years,34206
aian,male,85yearsandover,7763
aian,female,female,1378794
aian,female,under5years,84984
aian,female,5to9years,95938
aian,female,10to14years,109466
aian,female,15to17years,65715
aian,female,18and19years,47646
aian,female,20to24years,109814
aian,female,25to29years,105162
aian,female,30to34years,97951
aian,female,35to44years,183251
aian,female,45to54years,162911
aian,female,55to64years,154151
aian,female,65to74years,103037
aian,female,75to84years,44193
aian,female,85yearsandover,14575
asian,male,under5years,511046
asian,male,5to9years,532252
asian,male,10to14years,552403
asian,male,15to17years,323298
asian,male,18and19years,248230
asian,male,20to24years,638799
asian,male,25to29years,737016
asian,male,30to34years,795156
asian,male,35to44years,1471578
asian,male,45to54years,1267653
asian,male,55to64years,995501
asian,male,65to74years,689443
asian,male,75to84years,314811
asian,male,85yearsandover,105527
asian,female,female,9930266
asian,female,under5years,473498
asian,female,5to9years,505316
asian,female,10to14years,528713
asian,female,15to17years,318948
asian,female,18and19years,247427
asian,female,20to24years,610670
asian,female,25to29years,743099
asian,female,30to34years,840131
asian,female,35to44years,1632309
asian,female,45to54years,1417330
asian,female,55to64years,1156721
