race,sex,hispanic,age,weight,num
American Indian or Alaska Native,Female,FALSE,18,7.762927618155371e-5,14
American Indian or Alaska Native,Female,FALSE,19,7.93877607547554e-5,9
American Indian or Alaska Native,Female,FALSE,20,9.499516362119019e-5,11
American Indian or Alaska Native,Female,FALSE,21,8.619654236049293e-5,14
American Indian or Alaska Native,Female,FALSE,22,3.527676873228229e-5,7
American Indian or Alaska Native,Female,FALSE,23,6.796791586011445e-5,9
American Indian or Alaska Native,Female,FALSE,24,4.867107351506149e-5,9
American Indian or Alaska Native,Female,FALSE,25,9.708580466977586e-5,13
American Indian or Alaska Native,Female,FALSE,26,5.982043596147162e-5,9
American Indian or Alaska Native,Female,FALSE,27,8.316138218124033e-5,8
American Indian or Alaska Native,Female,FALSE,28,5.641193872212155e-5,8
American Indian or Alaska Native,Female,FALSE,29,9.851275260706245e-5,9
American Indian or Alaska Native,Female,FALSE,30,8.623288044935581e-5,14
American Indian or Alaska Native,Female,FALSE,31,9.434158164122705e-5,14
American Indian or Alaska Native,Female,FALSE,32,1.0042143203156618e-4,15
American Indian or Alaska Native,Female,FALSE,33,4.7231108948928535e-5,9
American Indian or Alaska Native,Female,FALSE,34,9.842055148606712e-5,13
American Indian or Alaska Native,Female,FALSE,35,5.106365386492352e-5,8
American Indian or Alaska Native,Female,FALSE,36,3.529462785697929e-5,10
American Indian or Alaska Native,Female,FALSE,37,6.726459176277401e-5,12
American Indian or Alaska Native,Female,FALSE,38,8.38071774278757e-5,15
American Indian or Alaska Native,Female,FALSE,39,1.277690980580841e-4,15
American Indian or Alaska Native,Female,FALSE,40,9.04945092376803e-5,9
American Indian or Alaska Native,Female,FALSE,41,8.237840871214932e-5,12
American Indian or Alaska Native,Female,FALSE,42,6.66884509764536e-5,14
American Indian or Alaska Native,Female,FALSE,43,6.99457461253647e-5,13
American Indian or Alaska Native,Female,FALSE,44,5.1827102390744934e-5,8
American Indian or Alaska Native,Female,FALSE,45,6.065090462986527e-5,10
American Indian or Alaska Native,Female,FALSE,46,7.745215705332235e-5,9
American Indian or Alaska Native,Female,FALSE,47,4.593378494057071e-5,11
American Indian or Alaska Native,Female,FALSE,48,1.9952283843422695e-5,3
American Indian or Alaska Native,Female,FALSE,49,4.777912451934869e-5,9
American Indian or Alaska Native,Female,FALSE,50,2.6421548380083293e-5,9
American Indian or Alaska Native,Female,FALSE,51,7.024295915069083e-5,14
American Indian or Alaska Native,Female,FALSE,52,8.106128858075427e-5,14
American Indian or Alaska Native,Female,FALSE,53,6.0966441659490046e-5,9
American Indian or Alaska Native,Female,FALSE,54,4.593959593559143e-5,9
American Indian or Alaska Native,Female,FALSE,55,2.380694928046319e-5,8
American Indian or Alaska Native,Female,FALSE,56,9.421792366718626e-5,14
American Indian or Alaska Native,Female,FALSE,57,8.798954424411767e-5,13
American Indian or Alaska Native,Female,FALSE,58,7.377461074451323e-5,13
American Indian or Alaska Native,Female,FALSE,59,3.1650979019124325e-5,10
American Indian or Alaska Native,Female,FALSE,60,2.1823075580391393e-5,5
American Indian or Alaska Native,Female,FALSE,61,4.771810907163118e-5,9
American Indian or Alaska Native,Female,FALSE,62,9.588017816284493e-5,14
American Indian or Alaska Native,Female,FALSE,63,8.196710648458318e-5,16
American Indian or Alaska Native,Female,FALSE,64,9.227891084867437e-5,17
American Indian or Alaska Native,Female,FALSE,65,4.5088750044658475e-5,15
American Indian or Alaska Native,Female,FALSE,66,6.361307871165768e-5,10
American Indian or Alaska Native,Female,FALSE,67,5.0966261588376346e-5,11
American Indian or Alaska Native,Female,FALSE,68,6.0058493057486874e-5,14
American Indian or Alaska Native,Female,FALSE,69,4.8057393700907274e-5,6
American Indian or Alaska Native,Female,FALSE,70,4.944548545148866e-5,8
American Indian or Alaska Native,Female,FALSE,71,3.439938596408807e-5,7
American Indian or Alaska Native,Female,FALSE,72,4.4273583663152695e-5,6
American Indian or Alaska Native,Female,FALSE,73,8.697006327768356e-5,9
American Indian or Alaska Native,Female,FALSE,74,3.082058783066428e-5,7
American Indian or Alaska Native,Female,FALSE,75,1.912929198862236e-5,3
American Indian or Alaska Native,Female,FALSE,76,1.1930398917160902e-5,3
American Indian or Alaska Native,Female,FALSE,77,1.8418181157954176e-5,2
American Indian or Alaska Native,Female,FALSE,78,1.1855901960995349e-5,6
American Indian or Alaska Native,Female,FALSE,79,1.663106774928376e-5,2
American Indian or Alaska Native,Female,FALSE,80,6.777289886721928e-5,13
American Indian or Alaska Native,Female,FALSE,85,3.146742905640337e-5,10
American Indian or Alaska Native,Female,TRUE,18,4.868370274423985e-5,6
American Indian or Alaska Native,Female,TRUE,19,7.29069904479538e-5,8
American Indian or Alaska Native,Female,TRUE,20,2.3117687791072887e-5,2
American Indian or Alaska Native,Female,TRUE,21,5.6615943387315416e-5,4
American Indian or Alaska Native,Female,TRUE,22,3.729446242337465e-5,2
American Indian or Alaska Native,Female,TRUE,23,6.223924326886046e-6,1
American Indian or Alaska Native,Female,TRUE,24,1.5716339653089752e-5,2
American Indian or Alaska Native,Female,TRUE,25,1.1120175755419416e-4,7
American Indian or Alaska Native,Female,TRUE,26,2.5236260355724837e-5,5
American Indian or Alaska Native,Female,TRUE,27,2.7714456032225372e-5,3
American Indian or Alaska Native,Female,TRUE,28,6.724320730109779e-5,4
American Indian or Alaska Native,Female,TRUE,29,4.5821555256737325e-5,5
American Indian or Alaska Native,Female,TRUE,30,4.186779298461025e-5,5
American Indian or Alaska Native,Female,TRUE,31,4.1833895513656086e-5,3
