Batch,Embedded data variable,CDF_Threshold,Batch Type
0,pi1,0.125,Warmup
0,pi2,0.25,Warmup
0,pi3,0.375,Warmup
0,pi4,0.5,Warmup
0,pi5,0.625,Warmup
0,pi6,0.75,Warmup
0,pi7,0.875,Warmup
1,pi1,0.071,Iterative Batch Phase: Max
1,pi2,0.241,Iterative Batch Phase: Max
1,pi3,0.264,Iterative Batch Phase: Max
1,pi4,0.277,Iterative Batch Phase: Max
1,pi5,0.579,Iterative Batch Phase: Max
1,pi6,0.741,Iterative Batch Phase: Max
1,pi7,0.768,Iterative Batch Phase: Max
2,pi1,0.023,Iterative Batch Phase: Max
2,pi2,0.176,Iterative Batch Phase: Max
2,pi3,0.186,Iterative Batch Phase: Max
2,pi4,0.199,Iterative Batch Phase: Max
2,pi5,0.845,Iterative Batch Phase: Max
2,pi6,0.94,Iterative Batch Phase: Max
2,pi7,0.955,Iterative Batch Phase: Max
3,pi1,0.028,Iterative Batch Phase: Max
3,pi2,0.073,Iterative Batch Phase: Max
3,pi3,0.078,Iterative Batch Phase: Max
3,pi4,0.094,Iterative Batch Phase: Max
3,pi5,0.813,Iterative Batch Phase: Max
3,pi6,0.925,Iterative Batch Phase: Max
3,pi7,0.94,Iterative Batch Phase: Max
4,pi1,0.035,Iterative Batch Phase: Max
4,pi2,0.102,Iterative Batch Phase: Max
4,pi3,0.108,Iterative Batch Phase: Max
4,pi4,0.12,Iterative Batch Phase: Max
4,pi5,0.856,Iterative Batch Phase: Max
4,pi6,0.901,Iterative Batch Phase: Max
4,pi7,0.916,Iterative Batch Phase: Max
5,pi1,0.032,Iterative Batch Phase: Max
5,pi2,0.059,Iterative Batch Phase: Max
5,pi3,0.066,Iterative Batch Phase: Max
5,pi4,0.079,Iterative Batch Phase: Max
5,pi5,0.899,Iterative Batch Phase: Max
5,pi6,0.934,Iterative Batch Phase: Max
5,pi7,0.95,Iterative Batch Phase: Max
1,pi1,0.111,Iterative Batch Phase: Min
1,pi2,0.146,Iterative Batch Phase: Min
1,pi3,0.346,Iterative Batch Phase: Min
1,pi4,0.738,Iterative Batch Phase: Min
1,pi5,0.748,Iterative Batch Phase: Min
1,pi6,0.781,Iterative Batch Phase: Min
1,pi7,0.982,Iterative Batch Phase: Min
2,pi1,0.355,Iterative Batch Phase: Min
2,pi2,0.471,Iterative Batch Phase: Min
2,pi3,0.612,Iterative Batch Phase: Min
2,pi4,0.642,Iterative Batch Phase: Min
2,pi5,0.708,Iterative Batch Phase: Min
2,pi6,0.821,Iterative Batch Phase: Min
2,pi7,0.949,Iterative Batch Phase: Min
3,pi1,0.042,Iterative Batch Phase: Min
3,pi2,0.143,Iterative Batch Phase: Min
3,pi3,0.369,Iterative Batch Phase: Min
3,pi4,0.416,Iterative Batch Phase: Min
3,pi5,0.607,Iterative Batch Phase: Min
3,pi6,0.833,Iterative Batch Phase: Min
3,pi7,0.914,Iterative Batch Phase: Min
4,pi1,0.041,Iterative Batch Phase: Min
4,pi2,0.355,Iterative Batch Phase: Min
4,pi3,0.476,Iterative Batch Phase: Min
4,pi4,0.525,Iterative Batch Phase: Min
4,pi5,0.579,Iterative Batch Phase: Min
4,pi6,0.78,Iterative Batch Phase: Min
4,pi7,0.896,Iterative Batch Phase: Min
5,pi1,0.045,Iterative Batch Phase: Min
5,pi2,0.165,Iterative Batch Phase: Min
5,pi3,0.303,Iterative Batch Phase: Min
5,pi4,0.386,Iterative Batch Phase: Min
5,pi5,0.501,Iterative Batch Phase: Min
5,pi6,0.876,Iterative Batch Phase: Min
5,pi7,0.953,Iterative Batch Phase: Min
6,pi1,0.045,Iterative Batch Phase: Min
6,pi2,0.123,Iterative Batch Phase: Min
6,pi3,0.288,Iterative Batch Phase: Min
6,pi4,0.392,Iterative Batch Phase: Min
6,pi5,0.474,Iterative Batch Phase: Min
6,pi6,0.891,Iterative Batch Phase: Min
6,pi7,0.965,Iterative Batch Phase: Min
7,pi1,0.022,Iterative Batch Phase: Min
7,pi2,0.112,Iterative Batch Phase: Min
7,pi3,0.218,Iterative Batch Phase: Min
7,pi4,0.572,Iterative Batch Phase: Min
7,pi5,0.637,Iterative Batch Phase: Min
7,pi6,0.878,Iterative Batch Phase: Min
7,pi7,0.963,Iterative Batch Phase: Min
8,pi1,0.017,Iterative Batch Phase: Min
8,pi2,0.073,Iterative Batch Phase: Min
8,pi3,0.193,Iterative Batch Phase: Min
8,pi4,0.444,Iterative Batch Phase: Min
8,pi5,0.498,Iterative Batch Phase: Min
8,pi6,0.869,Iterative Batch Phase: Min
8,pi7,0.968,Iterative Batch Phase: Min
9,pi1,0.027,Iterative Batch Phase: Min
9,pi2,0.093,Iterative Batch Phase: Min
9,pi3,0.243,Iterative Batch Phase: Min
9,pi4,0.484,Iterative Batch Phase: Min
9,pi5,0.547,Iterative Batch Phase: Min
9,pi6,0.783,Iterative Batch Phase: Min
9,pi7,0.968,Iterative Batch Phase: Min
10,pi1,0.052,Iterative Batch Phase: Min
10,pi2,0.166,Iterative Batch Phase: Min
